"key","context","status","comment","en-US","de-DE","es-419","fr-FR","it-IT","ja-JP","ko-KR","pt-BR","ru-RU","zh-CN","screenshotable","batch","test_name","en-US_screenshot","de-DE_screenshot","es-419_screenshot","fr-FR_screenshot","it-IT_screenshot","ja-JP_screenshot","ko-KR_screenshot","pt-BR_screenshot","ru-RU_screenshot","zh-CN_screenshot"
"pl_ALL558920407","this is in a list of languages that Rosetta Stone software teaches","verified","","ALL","ALLE","TODOS","TOUS","TUTTI","すべて","모두","TODOS","ВСЕ","全部","no","1","","","","","","","","","","",""
"pl_Arabic802773623","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","Arabic","Arabisch","Árabe","Arabe","Arabo","アラビア語","아랍어","Árabe","Арабский","阿拉伯语","no","1","","","","","","","","","","",""
"pl_Arabic__Iraqi148809718","this is in a list of languages that Rosetta Stone software teaches","verified","","Arabic (Iraqi)","Arabisch (Irak)","Árabe (Iraquí)","Arabe (Irak)","Arabo (Iracheno)","アラビア語（イラク）","아랍어(이라크)","Árabe (Iraque)","Арабский (Ирак)","阿拉伯语（伊拉克）","no","1","","","","","","","","","","",""
"pl_Chinese_Mandarin102265264","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","Chinese (Mandarin)","Chinesisch (Mandarin)","Chino (Mandarín)","Chinois (Mandarin)","Cinese (Mandarino)","中国語 (マンダリン)","중국어(만다린)","Chinês (Mandarim)","Китайский (мандаринский диалект)","汉语(普通话)","no","1","","","","","","","","","","",""
"pl_Chitimacha277531536","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","Chitimacha","Chitimacha","Chitimacha","Chitimacha","Chitimacha","Chitimacha","Chitimacha","Chitimacha","Chitimacha","Chitimacha","no","1","","","","","","","","","","",""
"pl_Danish788367677","this is in a list of languages that Rosetta Stone software teaches","verified","","Danish","Dänisch","Danés","Danois","Danese","デンマーク語","덴마크어","Dinamarquês","Датский","丹麦语","no","1","","","","","","","","","","",""
"pl_Dari399197097","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","Dari","Dari","Dari","Dari","Dari","ダリー語","다리어","Dari","Дари","达里语","no","1","","","","","","","","","","",""
"pl_Dutch69732574","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","Dutch","Niederländisch","Holandés","Néerlandais","Olandese","オランダ語","네덜란드어","Holandês","Голландский","荷兰语","no","1","","","","","","","","","","",""
"pl_English_American843014980","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","English (American)","Englisch (Amerikanisch)","Inglés (Estadounidense)","Anglais (Américain)","Inglese (Americano)","英語 (アメリカ)","영어(미국)","Inglês (Americano)","Английский (американский)","英语(美国)","no","1","","","","","","","","","","",""
"pl_English_American_Placement_TestD208448B","TRANSLATORS: IGNORE THIS ROW. this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files. Dnealon: pt-BR taken from app-i18n file.","English (American) Placement","Englisch (Amerikanisch) Platzierung","Inglés (Estadounidense) Ubicación","Anglais (Américain) Positionnement","Inglese (Americano) Posizionamento","英語 (アメリカ) 判定テスト","영어(미국) 평가","Inglês (Americano) Classificação ","","英语（美国）定级","no","1","","","","","","","","","","",""
"pl_English_Brazil2BB33C3B","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","English (American)","Englisch (Amerikanisch)","Inglés (Estadounidense)","Anglais (Américain)","Inglese (Americano)","英語 (アメリカ)","영어(미국)","Inglês (Americano)","Английский (американский)","英语(美国)","no","1","","","","","","","","","","",""
"pl_English_British977356377","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","English (British)","Englisch (Britisch)","Inglés (Británico)","Anglais (Britannique)","Inglese (Britannico)","英語 (イギリス)","영어(영국)","Inglês (Britânico)","Английский (британский)","英语(英国)","no","1","","","","","","","","","","",""
"pl_English_ChinaF9F49967","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","English (American)","Englisch (Amerikanisch)","Inglés (Estadounidense)","Anglais (Américain)","Inglese (Americano)","英語 (アメリカ)","영어(미국)","Inglês (Americano)","Английский (американский)","英语(美国)","no","1","","","","","","","","","","",""
"pl_English_Japan723EE939","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","English (American)","Englisch (Amerikanisch)","Inglés (Estadounidense)","Anglais (Américain)","Inglese (Americano)","英語 (アメリカ)","영어(미국)","Inglês (Americano)","Английский (американский)","英语(美国)","no","1","","","","","","","","","","",""
"pl_English_Korea2CCAF865","this is in a list of languages that Rosetta Stone software teaches","verified","Taken from Course locale files","English (American)","Englisch (Amerikanisch)","Inglés (Estadounidense)","Anglais (Américain)","Inglese (Americano)","英語 (アメリカ)","영어(미국)","Inglês (Americano)","Английский (американский)","英语(美国)","no","1","","","","","","","","","","",""
