"key","context","status","comment","en-US","de-DE","es-419","fr-FR","it-IT","ja-JP","ko-KR","pt-BR","ru-RU","zh-CN","screenshotable","batch","test_name","en-US_screenshot","de-DE_screenshot","es-419_screenshot","fr-FR_screenshot","it-IT_screenshot","ja-JP_screenshot","ko-KR_screenshot","pt-BR_screenshot","ru-RU_screenshot","zh-CN_screenshot"
"Abu_Dhabi7D830E3D","appears in a dropdown of timezones","verified","","Abu Dhabi","Abu Dhabi","Abu Dhabi","Abou Dhabi","Abu Dhabi","アブダビ","아부다비","Abu Dhabi","Абу-Даби","阿布扎比","no","4","","","","","","","","","","",""
"Adelaide3C22AF4","appears in a dropdown of timezones","verified","","Adelaide","Adelaide","Adelaida","Adélaïde","Adelaide","アデレード","애들레이드","Adelaide","Аделаида","阿德莱德","no","4","","","","","","","","","","",""
"Alaska409547EB","appears in a dropdown of timezones","verified","","Alaska","Alaska","Alaska","Alaska","Alaska","アラスカ","알래스카","Alasca","Аляска","阿拉斯加","no","4","","","","","","","","","","",""
"AlmatyCBD71985","appears in a dropdown of timezones","verified","","Almaty","Almaty","Almaty","Almaty","Almaty","アルマティ","알마티","Almaty","Алматы","阿拉木图","no","4","","","","","","","","","","",""
"AmsterdamB9E28734","appears in a dropdown of timezones","verified","","Amsterdam","Amsterdam","Ámsterdam","Amsterdam","Amsterdam","アムステルダム","암스테르담","Amsterdã","Амстердам","阿姆斯特丹","no","4","","","","","","","","","","",""
"Arizona2B1AC347","appears in a dropdown of timezones","verified","","Arizona","Arizona","Arizona","Arizona","Arizona","アリゾナ","애리조나","Arizona","Аризона","亚利桑那","no","4","","","","","","","","","","",""
"AstanaA737634E","appears in a dropdown of timezones","verified","","Astana","Astana","Astaná","Astana","Astana","アスタナ","아스타나","Astana","Астана","阿斯塔纳","no","4","","","","","","","","","","",""
"AthensFB688EED","appears in a dropdown of timezones","verified","","Athens","Athen","Atenas","Athènes","Atene","アテネ","아테네","Atenas","Афины","雅典","no","4","","","","","","","","","","",""
"Atlantic_Time_Canada861D1767","appears in a dropdown of timezones","verified","","Atlantic Time (Canada)","Atlantische Zeit (Kanada)","Hora del Atlántico (Canadá)","Heure de l'Atlantique (Canada)","Ora costa atlantica (Canada)","大西洋標準時 (カナダ)","대서양 표준시(캐나다)","Hora do Atlântico (Canadá)","Атлантическое время (Канада)","大西洋时间（加拿大）","no","4","","","","","","","","","","",""
"AucklandD783D3FA","appears in a dropdown of timezones","verified","","Auckland","Auckland","Auckland","Auckland","Auckland","オークランド","오클랜드","Auckland","Окленд","奥克兰","no","4","","","","","","","","","","",""
